,user_id,made_on,original_description,amount_cents,income
0,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-15,TFL TRAVEL CH ON 13 AUG CLP,530,False
1,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-16,TFL TRAVEL CH ON 15 AUG CLP,480,False
2,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-16,SAINSBURYS S/MKTS ON 15 AUG BCC,860,False
3,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-15,Amazon.co.uk*MH9WR LUXEMBOURG ON 14 AUG BCC,2149,False
4,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-17,TFL TRAVEL CH ON 16 AUG CLP,700,False
5,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-17,TESCO STORES 5518 ON 16 AUG CLP,135,False
6,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-17,MAHIKI ON 16 AUG BCC,1388,False
7,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-17,MAHIKI ON 16 AUG BCC,2150,False
8,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-17,ENGOCHA ON 16 AUG CLP,1000,False
9,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-16,TESCO STORES 5518 ON 15 AUG CLP,695,False
10,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-17,MAHIKI ON 16 AUG CLP,200,False
11,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-18,AMAZON PRIME*MH41J LUXEMBOURG ON 16 AUG BCC,799,False
12,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-18,N K CONVENIENCE ST ON 17 AUG CLP,704,False
13,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-18,UBER TRIP HELP.UBE ON 17 AUG BCC,4059,False
14,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-18,SAINSBURYS S/MKTS ON 17 AUG CLP,1010,False
15,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-19,TFL TRAVEL CH ON 18 AUG CLP,700,False
16,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-19,PRET A MANGER ON 18 AUG CLP,185,False
17,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-19,FIVE GUYS ON 18 AUG CLP,1420,False
18,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-19,FIVE GUYS ON 18 AUG CLP,265,False
19,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-08-19,CUBITTS ON 18 AUG BCC,12500,False
20,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-12,TFL TRAVEL CH ON 11 JUL CLP,530,False
21,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-12,PP*VINAI ON 11 JUL CLP,1200,False
